date,gender,city,category,incidence ,count,avg_age,mid_age,crude_rate
1979,不分男女,台閩地區,口腔、口咽及下咽,3.4,439,53.37,55,2.5
1979,不分男女,台北市,口腔、口咽及下咽,3.85,65,52,55,2.96
1979,不分男女,台中市,口腔、口咽及下咽,4.16,45,54.18,55,2.88
1979,不分男女,台南市,口腔、口咽及下咽,1.58,19,55.79,57,1.24
1979,不分男女,高雄市,口腔、口咽及下咽,2.1,32,48.56,50,1.49
1979,不分男女,基隆市,口腔、口咽及下咽,3.93,10,56.7,59.5,2.9
1979,不分男女,新竹市,口腔、口咽及下咽,4.37,10,48.3,53.5,3.62
1979,不分男女,嘉義市,口腔、口咽及下咽,4.54,8,60.75,62,3.16
1979,不分男女,新北市,口腔、口咽及下咽,3.26,47,52.85,53,2.2
1979,不分男女,桃園市,口腔、口咽及下咽,2.97,21,55.81,55,2.07
1979,不分男女,新竹縣,口腔、口咽及下咽,1.62,4,64.5,64.5,1.11
1979,不分男女,宜蘭縣,口腔、口咽及下咽,2.93,10,53,54,2.27
1979,不分男女,苗栗縣,口腔、口咽及下咽,0.82,3,55.67,67,0.55
1979,不分男女,彰化縣,口腔、口咽及下咽,6.5,55,52.25,54,4.77
1979,不分男女,南投縣,口腔、口咽及下咽,2.45,10,52.7,52,1.92
1979,不分男女,雲林縣,口腔、口咽及下咽,2.43,15,49.47,50,1.88
1979,不分男女,嘉義縣,口腔、口咽及下咽,2.62,12,52.17,53,2.08
1979,不分男女,屏東縣,口腔、口咽及下咽,4.08,25,60.2,59,2.83
1979,不分男女,澎湖縣,口腔、口咽及下咽,2.31,2,56.5,56.5,1.84
1979,不分男女,花蓮縣,口腔、口咽及下咽,2.92,9,47.89,53,2.55
1979,不分男女,台東縣,口腔、口咽及下咽,6.67,17,55.88,57.5,6.04
1980,不分男女,台閩地區,口腔、口咽及下咽,3.9,509,53.81,54,2.85
1980,不分男女,台北市,口腔、口咽及下咽,3.97,67,54.21,55,3.02
1980,不分男女,台中市,口腔、口咽及下咽,4.3,43,56.65,60,2.68
1980,不分男女,台南市,口腔、口咽及下咽,2.53,29,54.62,58,1.88
1980,不分男女,高雄市,口腔、口咽及下咽,3.49,55,50.04,51,2.5
1980,不分男女,基隆市,口腔、口咽及下咽,2.86,8,52.63,54,2.32
1980,不分男女,新竹市,口腔、口咽及下咽,4.96,10,58,53,3.55
1980,不分男女,嘉義市,口腔、口咽及下咽,10.17,19,54.05,50,7.54
