district,category,number,name,address,very_good,good,normal,weak,very_weak,accessible,parent-child,kind_point,lng,lat
士林區,餐廳,2,陽明山中國麗緻大飯店,臺北市士林區格致路237號,2,0,0,0,0,,,,121.548725,25.143271
士林區,餐廳,1,摩斯漢堡格致店,臺北市士林區格致路59號,0,1,0,0,0,,,v,121.546447,25.138486
士林區,超商,1,統一超商臺北市文大店,臺北市士林區格致路57號,0,1,0,0,0,,,,121.546486,25.137934
士林區,餐廳,1,麥當勞台北格致分公司,臺北市士林區格致路58之62號1.2樓,0,1,0,0,0,,,,121.54666,25.137706
士林區,學校,163,中國文化大學,臺北市士林區華岡路55號,121,42,0,0,0,v,,,121.540962,25.137688
士林區,學校,7,臺北市私立華岡藝術學校,臺北市士林區建業路73巷8號,7,0,0,0,0,,,,121.549865,25.137359
士林區,超商,1,統一超商臺北市草山店,臺北市士林區格致路28號,0,1,0,0,0,,,,121.546449,25.136941
士林區,加油站,1,中油陽明山站,臺北市士林區格致路3號,0,1,0,0,0,,,v,121.545953,25.135452
士林區,機關,8,陽明教養院華岡院區,臺北市士林區凱旋路61巷4弄9號,0,8,0,0,0,,,,121.541307,25.135274
士林區,公園,2,花卉試驗中心,臺北市士林區仰德大道四段175巷32號,2,0,0,0,0,v,,,121.544438,25.134945
士林區,公園,1,天母公園,臺北市士林區中山北路七段219號邊,0,1,0,0,0,,,,121.530071,25.125855
士林區,機關,1,天母派出所,臺北市士林區中山北路七段192號,0,1,0,0,0,,,,121.532891,25.124972
士林區,超商,1,萊爾富臺北市士銓店,臺北市士林區中山北路7段186號,0,1,0,0,0,,,,121.533084,25.124717
士林區,超商,1,統一超商臺北市天裕店,臺北市士林區中山北路七段156號1樓,0,1,0,0,0,,,,121.532666,25.123967
士林區,機關,6,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3樓,6,0,0,0,0,v,,,121.532946,25.123421
士林區,市場,2,頂好超市天母北分公司,臺北市士林區中山北路七段154巷6號,0,2,0,0,0,,,,121.5329,25.1234
士林區,餐廳,1,摩斯漢堡天母店,臺北市士林區天母北路85號,0,1,0,0,0,,,,121.526942,25.122109
士林區,超商,1,OK超商臺北市天母公園門市,臺北市士林區中山北路7段81巷8號1樓,0,1,0,0,0,,,,121.530576,25.121875
士林區,餐廳,1,我家牛排天母店,臺北市士林區天母西路13巷13號,1,0,0,0,0,,,,121.527286,25.120244
士林區,交通,2,天母停車場,臺北市士林區天母西路1號地下1樓,0,2,0,0,0,,,v,121.529646,25.119953
士林區,餐廳,1,巴登食坊,臺北市士林區天母東路69巷11之4號,1,0,0,0,0,,,v,121.533895,25.119953
士林區,超商,1,統一超商臺北市天鑫門市,臺北市士林區天玉街8號,0,1,0,0,0,,,,121.526963,25.119864
士林區,機關,1,溪山派出所,臺北市士林區至善路三段263號,0,1,0,0,0,v,,,121.584565,25.119766
士林區,餐廳,1,統一星巴克新天母門市,臺北市士林區天母西路33號1樓,0,1,0,0,0,,,v,121.527715,25.119059
士林區,餐廳,1,統一星巴克天母忠誠門市,臺北市士林區天母東路67-1號1樓,0,1,0,0,0,,,,121.534324,25.118729
士林區,超商,1,統一超商臺北市天北店,臺北市士林區天母西路39-1號1樓,0,1,0,0,0,,,,121.527473,25.118694
士林區,餐廳,2,方家小館,臺北市士林區天母東路7號,2,0,0,0,0,,,v,121.531341,25.118651
士林區,餐廳,2,丹堤咖啡天母東店,臺北市士林區天母東路37號,2,0,0,0,0,,,v,121.532006,25.118612
士林區,餐廳,1,麥當勞天母分公司,臺北市士林區天母西路9號1樓及地下1樓,0,1,0,0,0,,,,121.528971,25.11856
士林區,餐廳,1,SUBWAY天母東路門市,臺北市士林區天母東路31號,0,1,0,0,0,,,v,121.53196,25.118301
士林區,宗教寺廟,1,天母三玉宮,臺北市士林區天母東路6號,0,1,0,0,0,,,,121.53136,25.118265
士林區,餐廳,1,摩斯漢堡天母東路店,臺北市士林區天母東路21號,1,0,0,0,0,,,v,121.531786,25.118237
士林區,餐廳,2,肯德基天母分公司,臺北市士林區天母東路6之4號1樓,0,2,0,0,0,,,,121.530798,25.117976
士林區,百貨,19,新光三越百貨臺北天母店,臺北市士林區天母東路68號,19,0,0,0,0,v,v,v,121.533924,25.11795
士林區,戲院,9,華威天母影城,臺北市士林區忠誠路二段202號4樓,6,3,0,0,0,,v,v,121.534193,25.117139
士林區,學校,6,台北美國學校,臺北市士林區6段800號,0,6,0,0,0,v,,,121.529381,25.117036
士林區,超商,1,統一超商臺北市天越店,臺北市士林區天母東路50巷25號,0,1,0,0,0,,,,121.533244,25.116888
士林區,學校,23,臺北市立啟明學校,臺北市士林區忠誠路二段207巷1號,23,0,0,0,0,v,,,121.534969,25.116621
